pdl,nom,roof_m2,potential,Nom delta conso
19382344323101,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/ECOLE ELEMENTAIRE PAULINE LEON,844,Potentiel élevé,
,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/ECOLE ELEMENTAIRE PAULINE LEON/RESTAURANT SCOLAIRE PAULINE LEON,,Pas de potentiel,
,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/ECOLE ELEMENTAIRE PAULINE LEON/SALLE CYBER CENTRE PAULINE LEON,,Pas de potentiel,
19382344323101,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/ECOLE MATERNELLE PAULINE LEON,413,Potentiel élevé,
19382344323101,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/MODULAIRES ECOLE ELEMENTAIRE PAULINE LEON - SANITAIRES EXTERIEURS,0,Pas de potentiel,
30001930567334,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE ELEMENTAIRE 1 ROMAIN ROLLAND,490,Potentiel élevé,
30001930567334,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE ELEMENTAIRE 2 ROMAIN ROLLAND,1063,Pas de potentiel,
,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE ELEMENTAIRE 2 ROMAIN ROLLAND/CLASSES ELEMENTAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE ELEMENTAIRE 2 ROMAIN ROLLAND/CLASSES MATERNELLE,,Pas de potentiel,
,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE ELEMENTAIRE 2 ROMAIN ROLLAND/SOUS STATION CHAUFFAGE,,Pas de potentiel,
30001930567334,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE MATERNELLE ROMAIN ROLLAND,1232,,
30001930567334,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE MATERNELLE ROMAIN ROLLAND – RESTAURANT SCOLAIRE,1232,Potentiel élevé,
30001930567334,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE MATERNELLE ROMAIN ROLLAND/CHAUFFERIE GROUPE SCOLAIRE,,Pas de potentiel,
30001930567334,GROUPE SCOLAIRE ROMAIN ROLLAND/ECOLE MATERNELLE ROMAIN ROLLAND/RESTAURANT SCOLAIRE ROMAIN ROLLAND,,Pas de potentiel,
19338205462877,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE),1293,Pas de potentiel,
